row_no	name	url	gazette_no	gazette_date	can_donate_offline	can_donate_online
17	St. Joseph�s Educational Foundation for the Hearing Impaired	https://www.candleaid.org/our-projects/completed-projects/st-josephs-school-for-the-hearing-impaired/	1554	13.06.2008	YES	YES
71	_HelpAge Sri Lanka	https://www.helpagesl.org/	_497	_11.03.1988	YES	YES
62	Prithipura Infants Home	https://www.prithipura.org/	7/1638	22.01.2010	YES	YES
2	Sri Lanka Cancer Society	https://www.slcs.lk/			YES	YES
49	SOS Children�s Villages Sri Lanka	https://www.soschildrensvillages.lk/	496	04.03.1988	YES	YES
11	"Seemasahitha Matara, Arogya Seva Samithiya"	http://arogyasewa.org/	14797	11.04.1968	YES	NO
79	Canadapura Children�s Home	http://canadapura.com/Projects/CanadapuraVillage	71072	23.10.2018	YES	NO
54	Siyane Korale East � Social Service League� Obesekara Elders Home	http://www.achome.lk/	1337	16.04.2004	YES	NO
81	Centre For Handicapped	http://www.cfhsrilanka.org/	2144/23	09.10.2018	YES	NO
25	Udaya Children�s home	http://www.udayalamanivasaya.org/	1313	31.10.2003	YES	NO
4	Colombo Friend-in-Need Society	https://cfins.org/	"D.S.221/50, No. 84/3/11 (ET/DO)"	11.12.1951	YES	NO
19	Colombo Young Men�s Buddhist Association	https://colomboymba.org/	Chapter 399 ordinance - 11	29.09.1927	YES	NO
72	_Hospital Services Council	https://hsclk.org/	_458	12.06.1987_	YES	NO
22	Sri Lankadhara Society Limited	https://srilankadhara.org/	10596	09.10.1953	YES	NO
68	The Ceylon Moor Ladies Union	https://www.cmlu.lk/	305	17.02.1978	YES	NO
5	FRIDSRO Children's Home	https://www.facebook.com/FridsroSriLanka	143	29.05.1981	YES	NO
23	YMBA Maharagama	https://www.ymbamaharagama.org/	1299	25.07.2003	YES	NO
58	Kandy Friend-in-need society	http://kandyfriendinneed.blogspot.com/			NO	NO
77	_Ethanamadala Sahana Elders Home	http://sahanaudaya.org/	_2127/14	12.06.2019	NO	NO
33	Sri Lanka Technical Institute & Diyagala Boy�s town	http://www.diyagalaboystown.slt.lk/	14860	27.06.1969	NO	NO
21	Moors� Islamic Cultural Home	http://www.michsl.org/	10490	23.01.1953	NO	NO
14	Sahanoda Elders Home	http://www.sahanaudaya.org/	31 (7) (a) I R Act	04.04.2001	NO	NO
6	Sisters of Charity of Jesus and Mary	http://www.scjm.lk/	833	19.081994	NO	NO
24	Kanadarawa Thapowana Vihara Building Fund	http://www.thapowanaya.org/			NO	NO
51	Hindu Bord of Education	http://www.thehinduboard.org/	10857	04.11.1955	NO	NO
35	The Brave Hearts Fund of the Seva Vanitha Army Unit	https://alt.army.lk/sevavanitha/	1698	18.03.2011	NO	NO
80	Cancer Care Association - Sri Lanka	https://cancercaresl.com/	2142/81	27.09.2019	NO	NO
16	Sudaya Trust	https://dayamina.weebly.com/about.html	07/624	30.07.1993	NO	NO
75	_Moratuwa Social Service Society (Elders Home)	https://homeforelders.wordpress.com/contact-us/	_1982/39	02.09.2016	NO	NO
