row_no	name	url	gazette_no	gazette_date	can_donate_offline	can_donate_online	description
17	St. Joseph's Educational Foundation for the Hearing Impaired	https://www.candleaid.org/our-projects/completed-projects/st-josephs-school-for-the-hearing-impaired/	1554	13.06.2008	https://www.candleaid.org/donate/	https://www.candleaid.org/donate/	"St Joseph‚Äôs School for the Hearing Impaired (SJS) is run by a group of dedicated Catholic nuns. They welcome and nurture hearing impaired children from all ethnic and religious backgrounds. In some cases, the students who attend SJS live at the school campus. They come from low-income families, and for many of them, SJS provides an otherwise non-existent opportunity to learn how to manage their lives as hearing-impaired individuals in a hearing society."
71	HelpAge Sri Lanka	https://www.helpagesl.org/	497	11.03.1988	https://www.helpagesl.org/product-category/donation/	https://www.helpagesl.org/product-category/donation/	HelpAge Sri Lanka is a charitable non-governmental Organization working for and on behalf of disadvantaged senior citizens in Sri Lanka to improve their quality of lives.  Old age casts a melancholy mist over anyone who reaches a helpless age with no one to help assist or even to say a kind understanding and reassuring word. Our mission is to raise awareness and ensure that people in Sri Lanka understand how much older people contribute to society and that they must enjoy their right to healthcare social services and economic and physical security.
62	Prithipura Infants Home	https://www.prithipura.org/	7/1638	22.01.2010	https://www.prithipura.org/donate	https://www.prithipura.org/donate	"Prithipura Communities is a non-governmental, non-profit organisation. We provide a home to some of the most vulnerable in Sri Lanka; those with disabilities who have little or no family contact. We offer support regardless of ethnicity, religion or financial means. We currently support 250 children and adults with disabilities."
2	Sri Lanka Cancer Society	https://www.slcs.lk/			https://www.slcs.lk/make-a-donation-3/	https://donate.ideamart.io/live/campaign/5ed62b169bccd146d9ea0108	"Striving to achieve its mission, the Sri Lanka Cancer Society, regardless of cultural, social, ethnic, religious or ideological backgrounds, strives to provide needy Cancer patients with the quality of life, the care, protection and security they deserve. With this end in view, the Sri Lanka Cancer Society is involved in a multitude of activities which include, inter-alia, operating and maintaining a Hospice – “Shantha Sevana” for terminally ill Cancer patients, as well as the “Bandaranaike Memorial Cancer Home” which provides care and accommodation to Cancer patients undergoing treatment at the Maharagama Cancer Institute, providing relief to and rehabilitation of Cancer patients, and Public Education & Awareness."
49	SOS Children's Villages Sri Lanka	https://www.soschildrensvillages.lk/	496	04.03.1988	https://www.soschildrensvillages.lk/sponsor-a-child	https://www.soschildrensvillages.lk/sponsor-a-child	"Founded in 1949, we are the largest nonprofit in the world dedicated to the care of orphaned, abandoned and other vulnerable children. Through our family support and care programs, medical centers, schools and emergency relief efforts we impact the lives of millions of children and families."
11	"Seemasahitha Matara, Arogya Seva Samithiya"	http://arogyasewa.org/	14797	11.04.1968	http://arogyasewa.org/donate.html	NULL	"This Association was initiated by Ven. Walasgala Punnaji Mayuruwansa Thero on the 1st of June, 1962 with the noble thought of the welfare of the society. The association had 12 members at the inception and it has spread into an organization which does a great social service at present. It main objectives are To help needy patient with food and medicine, To make the society a belted place for people to live in, to help people overcome the physical and mental problems that winders and behaviours..... "
79	Canadapura Children's Home	http://canadapura.com/Projects/CanadapuraVillage	71072	23.10.2018	http://canadapura.com/Donations	https://www.paypal.com/donate/?token=tK-JsnJQ7jaN1-Zrr637Bq-TxyxM1WzDi428E_ZWy_3WJfPNeQAlcIWZ6WrXdQPV0rHojTsQvlRqzR98	"With the tsunami disaster, which hit Sri Lanka’s coastal belt, a large number of children, has lost either parents or one parent. In most cases both the parents of these poor children fell victims to this tragedy and these children are left without any close kith or kin to look after them. Although short term relief measures are underway in a massive scale, in the affected Hambantota District neither the GOSL nor any Not For Profit organisation has so far made any long term plans to set up institutions not only to look after these orphaned children but to provide long term care and other basic needs until they become useful citizens of Sri Lanka. Furthermore, the foundation also plans to construct 50 new houses to families where the children have lost one parent due to this recent disaster. Thus, seeing the future need first, the foundation decided to construct an orphanage for these children whose parents fell victim to the recent tsunami disaster. "
54	Siyane Korale East ' Social Service League' Obesekara Elders Home	http://www.achome.lk/	1337	16.04.2004	http://www.achome.lk/donations.php	NULL	"The Home for the Elders and the Attanagalla Children‚Äôs Home was founded on 08th May 1961 in the town of Wathupitiwala in the Gampaha District, which is about 45Km from Colombo. This is another social service provided by the philanthropic family of Mrs. J.P. Obeyesekere(I) to the people of the Siyane Korale."
81	Centre For Handicapped	http://www.cfhsrilanka.org/	2144/23	09.10.2018	http://www.cfhsrilanka.org/donate	NULL	"Each year around 1,200 poor men, women and children come to the Centre for Handicapped in Kundasale seeking our help in rebuilding lives blighted by illnesses, accidents and birth defects which have left them with physical disabilities and have curtailed their ability to live normal, productive lives. Thanks mainly to generous donors from all over the world we are able to respond positively to their plight and to provide them with free, custom-built artificial limbs, orthoses, wheelchairs, crutches and other devices that give them the prospect of a better life. Adults are able to return to their professions or build new ones and children are able to lead normal, happy childhoods and to look forward with confidence to brighter futures. Since the Centre was set up in 1992 almost 21,000 recipients from all over the island have benefited from our services."
25	Udaya Children's home	http://www.udayalamanivasaya.org/	1313	31.10.2003	http://www.udayalamanivasaya.org/	NULL	Our aim is to give the necessary protection and care for the innocent orphans and needy girls of uva province. At Present there are about 40 girls between the ages of 5 - 18. These children attend the two local state schools. 
4	Colombo Friend-in-Need Society	https://cfins.org/	"D.S.221/50, No. 84/3/11 (ET/DO)"	11.12.1951	https://cfins.org/donate/	NULL	"Established in 1831 under the patronage of Governor Sir Edward Barnes, the Colombo Friend-in-Need Society (CFINS) is the oldest charitable organisation in Sri Lanka. Since its founding days, CFINS has upheld the tradition of having the current Head of State as the ex-officio Patron. Their activities are managed and directed by a Board of Management consisting entirely of volunteers among whom are several leading members of the Medical Profession, Engineers, Company Directors and Executives from the Corporate Sector."
19	Colombo Young Men's Buddhist Association	https://colomboymba.org/	Chapter 399 ordinance - 11	29.09.1927	https://colomboymba.org/index.php?option=com_content&view=article&id=24&Itemid=136	NULL	The YMBA has been present in Sri Lanka Since 1898 with a single goal in mind. As one of the key Buddhist movements in the country the YMBA has adhered to promoting the teachings of the Buddha Dhamma to the youth.
72	Hospital Services Council	https://hsclk.org/	458	12.06.1987_	https://hsclk.org/donation-methods/	NULL	NULL
22	Sri Lankadhara Society Limited	https://srilankadhara.org/	10596	09.10.1953	https://srilankadhara.org/inner_pages/donate.html	NULL	NULL
68	The Ceylon Moor Ladies Union	https://www.cmlu.lk/	305	17.02.1978	https://www.cmlu.lk/donation-page/	NULL	NULL
5	FRIDSRO Children's Home	https://www.facebook.com/FridsroSriLanka	143	29.05.1981	NULL	NULL	NULL
23	YMBA Maharagama	https://www.ymbamaharagama.org/	1299	25.07.2003	https://www.ymbamaharagama.org/	NULL	NULL
58	Kandy Friend-in-need society	http://kandyfriendinneed.blogspot.com/			NULL	NULL	NULL
77	Ethanamadala Sahana Elders Home	http://sahanaudaya.org/	2127/14	12.06.2019	NULL	NULL	NULL
33	Sri Lanka Technical Institute & Diyagala Boy's town	http://www.diyagalaboystown.slt.lk/	14860	27.06.1969	NULL	NULL	NULL
21	Moors' Islamic Cultural Home	http://www.michsl.org/	10490	23.01.1953	NULL	NULL	NULL
14	Sahanoda Elders Home	http://www.sahanaudaya.org/	31 (7) (a) I R Act	04.04.2001	NULL	NULL	NULL
6	Sisters of Charity of Jesus and Mary	http://www.scjm.lk/	833	19.081994	NULL	NULL	NULL
24	Kanadarawa Thapowana Vihara Building Fund	http://www.thapowanaya.org/			NULL	NULL	NULL
51	Hindu Bord of Education	http://www.thehinduboard.org/	10857	04.11.1955	NULL	NULL	NULL
35	The Brave Hearts Fund of the Seva Vanitha Army Unit	https://alt.army.lk/sevavanitha/	1698	18.03.2011	NULL	NULL	NULL
80	Cancer Care Association - Sri Lanka	https://cancercaresl.com/	2142/81	27.09.2019	NULL	NULL	NULL
16	Sudaya Trust	https://dayamina.weebly.com/about.html	07/624	30.07.1993	NULL	NULL	NULL
75	Moratuwa Social Service Society (Elders Home)	https://homeforelders.wordpress.com/contact-us/	1982/39	02.09.2016	NULL	NULL	NULL
43	Little Sisters of the Poor	https://mclloydbis.com/profile/237768/little-sisters-of-the-poor.html?fbclid=IwAR3Xnr6tWDPCO40pO-vJPdEkOQ4V5959e58lXcP6s5ghaGVrKuqmMfqV2JU	IRD Act No 28 of 1979(02-573)	24.02.1994	NULL	NULL	NULL
67	Ramakrishna Sarada Mission	https://rsmlanka.webs.com/	3-669/3''	16.03.1973	NULL	NULL	NULL
45	Shilpa Children's Trust	https://shilpa.org/	513	01.07.1988	NULL	NULL	NULL
55	All Ceylon Buddhist Congress	https://www.acbc.lk/	10812	01.07.1955	NULL	NULL	NULL
1	Hindu Women's Society Limited Colombo	https://www.facebook.com/CYWHA/	10693	16.07.1954	NULL	NULL	NULL
66	Isha Athul Islam Home for the Orphans	https://www.facebook.com/pg/ishaathulislam	43/83'	23.08.1984	NULL	NULL	NULL
27	Kalutara Bodhi Trust	https://www.kalutarabodhiya.org/	368	20.09.1985	NULL	NULL	NULL
39	Mallika Nivasa Samithiya (Society) Limited	https://www.mallikahomes.org/	10889	03.02.1956	NULL	NULL	NULL
20	Saviya Development Foundation	https://www.peaceinsight.org/en/organisations/sdf/	90/0476-26	04.12.1995	NULL	NULL	NULL
7	"Rohana (blind, deaf )Special School and Hostel"	https://www.rohanaspecialschool.org/	LDB 7/13	04.10.1972	NULL	NULL	NULL
28	Seemasahitha Sarvodaya Suwasetha Seva Samithiya	https://www.sarvodayasuwasetha.org/	462	09.07.1987	NULL	NULL	NULL
9	Amaraseela Elders' Home		618	06.07.1990	NULL	NULL	NULL
64	Angel Foundation				NULL	NULL	NULL
63	Anuradapura Deaf & Blind school Society Ltd		387	31.01.1986	NULL	NULL	NULL
76	Appeal for Children Committee of Ceylon		10782		NULL	NULL	NULL
8	Charles & Roslene Fernando Trust		ACT No. 28 of 1979	1997 April;	NULL	NULL	NULL
53	Children's Corner Orphanage'		38 of 2000	27.06.2003	NULL	NULL	NULL
36	Community Development & Social Services Project of the Church of St. Mary & St. John		3-435 ' Gazete No. 186	26.03.1092	NULL	NULL	NULL
26	Dev Suwa Sevawa		185	10.10.1975	NULL	NULL	NULL
42	Don Bosco Boy's Home		1192	06.07.2001	NULL	NULL	NULL
61	Don Bosco Trust		1541	14.03.2008	NULL	NULL	NULL
44	Friends of Marscri		462	09.07.1987	NULL	NULL	NULL
48	Galkissa Buddha Samithiya'Sri Senarath Gunawardana Children's Development Centre		14892	27.01.1970	NULL	NULL	NULL
47	Gamsiri Uda Samithiya Limited		246	31.12.1976	NULL	NULL	NULL
10	"Hanwella Social Services Society, Sende Sarana Elders Home"		425	24.10.1986	NULL	NULL	NULL
32	Jagaddala Social Welfare Institute		1660	24.06.2010	NULL	NULL	NULL
70	Kaluthara Buddhist society			________	NULL	NULL	NULL
50	Kandy Buddhist Women Society Jajawickrema Lama Nivasa				NULL	NULL	NULL
78	Lotus Hill Home for Disabled Children		53601	21.11.2017	NULL	NULL	NULL
15	Maha Mahinda Dharmaduta Special Fund		965/15/150(SB/EP)	28.03.1964	NULL	NULL	NULL
60	Mahabodhi Society of Ceylon		777	18.06.1999	NULL	NULL	NULL
29	Matara Bauddha Kantha Samithiya		10947	06.07.1956	NULL	NULL	NULL
12	Matugama Social Services Society Ltd		1063/16	21.01.1999	NULL	NULL	NULL
56	Methodist Trust Association of Ceylon		237/20	25.03.1983	NULL	NULL	NULL
3	Muhandiram D F Perera Abayasiriwardhana Elders Home				NULL	NULL	NULL
52	Muslim Ladies Arabic College Managing Society		13998	28.03.1964	NULL	NULL	NULL
69	Panadura Child Welfare & social Service League' ( Morawinna Girls home)		10490'	23.01.1953	NULL	NULL	NULL
37	Pihimbiyahena Elder's Home		1584	09.01.2009	NULL	NULL	NULL
13	Piliyandala Young Men's Buddhist Association		28	16.03.1979	NULL	NULL	NULL
31	Pradeepaloka Buddhist Balika Home		1842	31.12.1965	NULL	NULL	NULL
18	Sarana Nikethanaya		1395	27.05.2005	NULL	NULL	NULL
41	Sarana Women's Elderly Home		IRD Act No. 34(2)(a) of N0. 10 of 2006	27.02.2008	NULL	NULL	NULL
46	Shanthi Nivasa		1667	13.08.2010	NULL	NULL	NULL
74	Special Educational Service Society		411	18.07.1986_	NULL	NULL	NULL
30	Sri Paramananda Children's & Elder's Home		14930	30.10.1970	NULL	NULL	NULL
34	Sri Punyawardhana Samithiya		13998	28.03.1964	NULL	NULL	NULL
38	Sri Sucharithadhara Upasika Samithiya Ltd		10947		NULL	NULL	NULL
40	St/ Margaret Home		10_468	07.11.1952	NULL	NULL	NULL
73	The Ceylon School For the Deaf and Blind		"_10,411"	06.06.1952_	NULL	NULL	NULL
65	The King George the fifth Silver Jubilee Commemoration society		10332'	21.12.1951_	NULL	NULL	NULL
57	The Oblates of Mary Immaculata Province of Sri Lanka'		305'of 84.07.06	13.06.1984	NULL	NULL	NULL
59	The Senkadagala Deaf & Blind Society Ltd			31.01.1969	NULL	NULL	NULL
